id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
22884,18 05 2000,Thailand,Uzbekistan,2,0,Friendly,Bangkok,Thailand,FALSE
22885,19 05 2000,Guatemala,Belize,0,0,FIFA World Cup qualification,San Pedro Sula,Honduras,TRUE
22886,19 05 2000,Haiti,Trinidad and Tobago,1,1,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE
22887,20 05 2000,Malawi,Angola,0,0,COSAFA Cup,Blantyre,Malawi,FALSE
22888,21 05 2000,Barbados,Cuba,1,1,FIFA World Cup qualification,Bridgetown,Barbados,FALSE
22889,21 05 2000,Lebanon,Saudi Arabia,0,0,Friendly,Zahl??,Lebanon,FALSE
22890,21 05 2000,Panama,Nicaragua,4,0,FIFA World Cup qualification,Panama City,Panama,FALSE
22891,23 05 2000,Jordan,Kyrgyzstan,2,0,WAFF Championship,Amman,Jordan,FALSE
22892,23 05 2000,Lebanon,Iraq,1,2,WAFF Championship,Amman,Jordan,TRUE
22893,23 05 2000,Wales,Brazil,0,3,Friendly,Cardiff,Wales,FALSE
22894,24 05 2000,Iran,Kazakhstan,3,0,WAFF Championship,Amman,Jordan,TRUE
22895,24 05 2000,Slovakia,Saudi Arabia,1,1,Friendly,Nitra,Slovakia,FALSE
22896,24 05 2000,Syria,Palestine,1,0,WAFF Championship,Amman,Jordan,TRUE
22897,25 05 2000,China PR,Serbia,0,2,Friendly,Beijing,China PR,FALSE
22898,25 05 2000,Jordan,Iraq,0,0,WAFF Championship,Amman,Jordan,FALSE
22899,25 05 2000,Kyrgyzstan,Lebanon,0,2,WAFF Championship,Amman,Jordan,TRUE
22900,26 05 2000,Algeria,Burkina Faso,2,0,Friendly,Algiers,Algeria,FALSE
22901,26 05 2000,Kazakhstan,Syria,0,4,WAFF Championship,Amman,Jordan,TRUE
22902,26 05 2000,Palestine,Iran,1,1,WAFF Championship,Amman,Jordan,TRUE
22903,27 05 2000,Canada,Trinidad and Tobago,1,0,Friendly,Toronto,Canada,FALSE
22904,27 05 2000,Cuba,Haiti,0,1,Friendly,Havana,Cuba,FALSE
22905,27 05 2000,England,Brazil,1,1,Friendly,London,England,FALSE
22906,27 05 2000,Iraq,Kyrgyzstan,4,0,WAFF Championship,Amman,Jordan,TRUE
22907,27 05 2000,Jamaica,Colombia,0,3,Friendly,East Rutherford,United States,TRUE
22908,27 05 2000,Jordan,Lebanon,0,0,WAFF Championship,Amman,Jordan,FALSE
22909,27 05 2000,Netherlands,Romania,2,1,Friendly,Amsterdam,Netherlands,FALSE
22910,27 05 2000,Norway,Slovakia,2,0,Friendly,Oslo,Norway,FALSE
22911,28 05 2000,Croatia,France,0,2,Friendly,Zagreb,Croatia,FALSE
22912,28 05 2000,Iran,Syria,1,0,WAFF Championship,Amman,Jordan,TRUE
